State,County,County/St,McCainVt,ObamaVt,McCainPt,ObamaPt,PtDiff8,PtDiffCrp8,PVI08,BushVt,KerryVt,BushPt,KerryPt,PtDiff4,PtDiffCrp4,PVI04,PVIShift,AdjShift,PtGOPChg,Cnty_US
Arizona,Maricopa,"Maricopa, AZ ",596611,483358,55.24%,44.76%,10.49%,10.49%,16.65%,679455,504849,57.37%,42.63%,14.74%,14.74%,12.26%,-4.26%,4.40%,-3.71%,4.73%
Arizona,Mohave,"Mohave, AZ ",39447,19953,66.41%,33.59%,32.82%,30.00%,38.98%,36794,20503,64.22%,35.78%,28.43%,28.43%,25.94%,4.39%,13.04%,3.41%,11.86%
Arizona,Navajo,"Navajo, AZ ",18119,14453,55.63%,44.37%,11.26%,11.26%,17.42%,17277,14815,53.84%,46.16%,7.67%,7.67%,5.18%,3.58%,12.24%,3.33%,11.77%
Arizona,Pima,"Pima, AZ ",146976,166095,46.95%,53.05%,-6.11%,-6.11%,0.06%,171109,193128,46.98%,53.02%,-6.05%,-6.05%,-8.53%,-0.06%,8.59%,-0.07%,8.38%
Arizona,Pinal,"Pinal, AZ ",55086,40957,57.36%,42.64%,14.71%,14.71%,20.88%,37006,27252,57.59%,42.41%,15.18%,15.18%,12.69%,-0.47%,8.19%,-0.41%,8.04%
Arizona,Santa Cruz,"Santa Cruz, AZ ",4517,8680,34.23%,65.77%,-31.55%,-30.00%,-25.38%,4668,6909,40.32%,59.68%,-19.36%,-19.36%,-21.85%,-12.19%,-3.53%,-15.11%,-6.67%
Arizona,Yavapai,"Yavapai, AZ ",54574,32667,62.56%,37.44%,25.11%,25.11%,31.28%,53468,33127,61.74%,38.26%,23.49%,23.49%,21.00%,1.62%,10.27%,1.31%,9.76%
Arizona,Yuma,"Yuma, AZ ",19311,14538,57.05%,42.95%,14.10%,14.10%,20.27%,22184,16032,58.05%,41.95%,16.10%,16.10%,13.61%,-2.00%,6.66%,-1.72%,6.72%
Arkansas,Arkansas,"Arkansas, AR ",4184,2616,61.53%,38.47%,23.06%,23.06%,29.22%,3789,3110,54.92%,45.08%,9.84%,9.84%,7.35%,13.22%,21.87%,12.03%,20.48%
Arkansas,Ashley,"Ashley, AR ",5166,2283,69.35%,30.65%,38.70%,30.00%,44.87%,4567,3881,54.06%,45.94%,8.12%,8.12%,5.63%,30.58%,39.24%,28.29%,36.73%
Arkansas,Baxter,"Baxter, AR ",12841,6531,66.29%,33.71%,32.57%,30.00%,38.74%,11128,7129,60.95%,39.05%,21.90%,21.90%,19.42%,10.67%,19.32%,8.75%,17.20%
Arkansas,Benton,"Benton, AR ",50855,23412,68.48%,31.52%,36.95%,30.00%,43.12%,46571,20756,69.17%,30.83%,38.34%,30.00%,35.85%,-1.39%,7.26%,-1.01%,7.44%
Arkansas,Boone,"Boone, AR ",10559,4429,70.45%,29.55%,40.90%,30.00%,47.06%,9793,4640,67.85%,32.15%,35.70%,30.00%,33.21%,5.20%,13.85%,3.83%,12.27%
Arkansas,Bradley,"Bradley, AR ",2259,1673,57.45%,42.55%,14.90%,14.90%,21.07%,2011,2206,47.69%,52.31%,-4.62%,-4.62%,-7.11%,19.53%,28.18%,20.47%,28.92%
Arkansas,Calhoun,"Calhoun, AR ",1459,690,67.89%,32.11%,35.78%,30.00%,41.95%,1340,939,58.80%,41.20%,17.60%,17.60%,15.11%,18.19%,26.84%,15.47%,23.91%
Arkansas,Carroll,"Carroll, AR ",6070,4160,59.34%,40.66%,18.67%,18.67%,24.84%,6184,4161,59.78%,40.22%,19.56%,19.56%,17.07%,-0.88%,7.77%,-0.74%,7.70%
Arkansas,Chicot,"Chicot, AR ",1935,2927,39.80%,60.20%,-20.40%,-20.40%,-14.24%,1725,2993,36.56%,63.44%,-26.88%,-26.88%,-29.36%,6.47%,15.13%,8.85%,17.29%
Arkansas,Clark,"Clark, AR ",4608,4265,51.93%,48.07%,3.87%,3.87%,10.03%,4144,4990,45.37%,54.63%,-9.26%,-9.26%,-11.75%,13.13%,21.78%,14.47%,22.91%
Arkansas,Clay,"Clay, AR ",3032,2245,57.46%,42.54%,14.91%,14.91%,21.08%,2759,3264,45.81%,54.19%,-8.38%,-8.38%,-10.87%,23.30%,31.95%,25.43%,33.87%
Arkansas,Cleburne,"Cleburne, AR ",7962,2951,72.96%,27.04%,45.92%,30.00%,52.08%,7107,4517,61.14%,38.86%,22.28%,22.28%,19.79%,23.64%,32.29%,19.33%,27.77%
Arkansas,Cleveland,"Cleveland, AR ",2443,909,72.88%,27.12%,45.76%,30.00%,51.93%,2009,1450,58.08%,41.92%,16.16%,16.16%,13.67%,29.60%,38.26%,25.48%,33.93%
Arkansas,Columbia,"Columbia, AR ",5711,3496,62.03%,37.97%,24.06%,24.06%,30.22%,5729,4108,58.24%,41.76%,16.48%,16.48%,13.99%,7.58%,16.23%,6.51%,14.95%
Arkansas,Conway,"Conway, AR ",4687,3144,59.85%,40.15%,19.70%,19.70%,25.87%,4009,3982,50.17%,49.83%,0.34%,0.34%,-2.15%,19.37%,28.02%,19.30%,27.74%
Arkansas,Craighead,"Craighead, AR ",18859,11279,62.58%,37.42%,25.15%,25.15%,31.32%,15818,13665,53.65%,46.35%,7.30%,7.30%,4.81%,17.85%,26.50%,16.63%,25.08%
Arkansas,Crawford,"Crawford, AR ",14746,5265,73.69%,26.31%,47.38%,30.00%,53.54%,13391,6764,66.44%,33.56%,32.88%,30.00%,30.39%,14.50%,23.15%,10.91%,19.35%
Arkansas,Crittenden,"Crittenden, AR ",9361,7420,55.78%,44.22%,11.57%,11.57%,17.73%,6930,8277,45.57%,54.43%,-8.86%,-8.86%,-11.35%,20.42%,29.08%,22.41%,30.85%
Arkansas,Cross,"Cross, AR ",4393,2580,63.00%,37.00%,26.00%,26.00%,32.17%,3864,3135,55.21%,44.79%,10.42%,10.42%,7.93%,15.58%,24.24%,14.11%,22.56%
Arkansas,Dallas,"Dallas, AR ",1756,1470,54.43%,45.57%,8.87%,8.87%,15.03%,1700,1671,50.43%,49.57%,0.86%,0.86%,-1.63%,8.01%,16.66%,7.94%,16.38%
Arkansas,Desha,"Desha, AR ",1977,2546,43.71%,56.29%,-12.58%,-12.58%,-6.41%,1729,2851,37.75%,62.25%,-24.50%,-24.50%,-26.99%,11.92%,20.57%,15.78%,24.23%
Arkansas,Drew,"Drew, AR ",3860,2598,59.77%,40.23%,19.54%,19.54%,25.71%,3262,2952,52.49%,47.51%,4.99%,4.99%,2.50%,14.55%,23.21%,13.86%,22.30%
Arkansas,Faulkner,"Faulkner, AR ",25310,14099,64.22%,35.78%,28.45%,28.45%,34.61%,21514,14538,59.67%,40.33%,19.35%,19.35%,16.86%,9.10%,17.75%,7.62%,16.07%
Arkansas,Franklin,"Franklin, AR ",4407,1868,70.23%,29.77%,40.46%,30.00%,46.63%,4181,3008,58.16%,41.84%,16.32%,16.32%,13.83%,24.15%,32.80%,20.76%,29.20%
Arkansas,Fulton,"Fulton, AR ",2700,1818,59.76%,40.24%,19.52%,19.52%,25.69%,2522,2370,51.55%,48.45%,3.11%,3.11%,0.62%,16.41%,25.07%,15.92%,24.36%
Arkansas,Garland,"Garland, AR ",25011,14987,62.53%,37.47%,25.06%,25.06%,31.23%,21734,18040,54.64%,45.36%,9.29%,9.29%,6.80%,15.77%,24.43%,14.43%,22.88%
Arkansas,Grant,"Grant, AR ",5022,1562,76.28%,23.72%,52.55%,30.00%,58.72%,4205,2524,62.49%,37.51%,24.98%,24.98%,22.49%,27.57%,36.22%,22.06%,30.50%
Arkansas,Greene,"Greene, AR ",8578,4541,65.39%,34.61%,30.77%,30.00%,36.94%,7237,6564,52.44%,47.56%,4.88%,4.88%,2.39%,25.90%,34.55%,24.69%,33.14%
Arkansas,Hempstead,"Hempstead, AR ",4252,2861,59.78%,40.22%,19.56%,19.56%,25.72%,3580,3817,48.40%,51.60%,-3.20%,-3.20%,-5.69%,22.76%,31.41%,23.51%,31.96%
Arkansas,Hot Spring,"Hot Spring, AR ",7014,4216,62.46%,37.54%,24.92%,24.92%,31.08%,5960,5901,50.25%,49.75%,0.50%,0.50%,-1.99%,24.42%,33.07%,24.30%,32.74%
Arkansas,Howard,"Howard, AR ",2956,1745,62.88%,37.12%,25.76%,25.76%,31.93%,2736,2166,55.81%,44.19%,11.63%,11.63%,9.14%,14.13%,22.79%,12.66%,21.10%
Arkansas,Independence,"Independence, AR ",8023,3551,69.32%,30.68%,38.64%,30.00%,44.80%,7430,5443,57.72%,42.28%,15.44%,15.44%,12.95%,23.20%,31.86%,20.10%,28.54%
Arkansas,Izard,"Izard, AR ",3141,1767,64.00%,36.00%,28.00%,28.00%,34.16%,2833,2586,52.28%,47.72%,4.56%,4.56%,2.07%,23.44%,32.09%,22.42%,30.86%
Arkansas,Jackson,"Jackson, AR ",3146,2220,58.63%,41.37%,17.26%,17.26%,23.42%,2624,3515,42.74%,57.26%,-14.51%,-14.51%,-17.00%,31.77%,40.42%,37.16%,45.61%
Arkansas,Jefferson,"Jefferson, AR ",10614,18272,36.74%,63.26%,-26.51%,-26.51%,-20.35%,10218,19675,34.18%,65.82%,-31.64%,-30.00%,-34.12%,5.13%,13.78%,7.50%,15.94%
Arkansas,Johnson,"Johnson, AR ",4911,3043,61.74%,38.26%,23.49%,23.49%,29.65%,4311,3622,54.34%,45.66%,8.69%,8.69%,6.20%,14.80%,23.45%,13.62%,22.06%
Arkansas,Lafayette,"Lafayette, AR ",1685,1133,59.79%,40.21%,19.59%,19.59%,25.75%,1604,1567,50.58%,49.42%,1.17%,1.17%,-1.32%,18.42%,27.07%,18.21%,26.65%
Arkansas,Lawrence,"Lawrence, AR ",3357,2136,61.11%,38.89%,22.23%,22.23%,28.39%,2951,3544,45.43%,54.57%,-9.13%,-9.13%,-11.62%,31.36%,40.01%,34.51%,42.95%
Arkansas,Lee,"Lee, AR ",1455,2236,39.42%,60.58%,-21.16%,-21.16%,-14.99%,1492,2548,36.93%,63.07%,-26.14%,-26.14%,-28.63%,4.98%,13.63%,6.74%,15.18%
Arkansas,Lincoln,"Lincoln, AR ",2513,1709,59.52%,40.48%,19.04%,19.04%,25.21%,1921,2149,47.20%,52.80%,-5.60%,-5.60%,-8.09%,24.65%,33.30%,26.11%,34.55%
Arkansas,Little River,"Little River, AR ",3247,1752,64.95%,35.05%,29.91%,29.91%,36.07%,2575,2677,49.03%,50.97%,-1.94%,-1.94%,-4.43%,31.85%,40.50%,32.48%,40.92%
Arkansas,Logan,"Logan, AR ",5136,2196,70.05%,29.95%,40.10%,30.00%,46.26%,5076,3361,60.16%,39.84%,20.33%,20.33%,17.84%,19.77%,28.42%,16.43%,24.87%
Arkansas,Lonoke,"Lonoke, AR ",17046,5880,74.35%,25.65%,48.70%,30.00%,54.87%,14398,7454,65.89%,34.11%,31.78%,30.00%,29.29%,16.93%,25.58%,12.85%,21.29%
Arkansas,Madison,"Madison, AR ",3970,2142,64.95%,35.05%,29.91%,29.91%,36.07%,3873,2421,61.53%,38.47%,23.07%,23.07%,20.58%,6.84%,15.49%,5.56%,14.00%
Arkansas,Marion,"Marion, AR ",4510,2379,65.47%,34.53%,30.93%,30.00%,37.10%,4127,2602,61.33%,38.67%,22.66%,22.66%,20.18%,8.27%,16.92%,6.74%,15.19%
Arkansas,Miller,"Miller, AR ",9913,4866,67.07%,32.93%,34.15%,30.00%,40.32%,8448,6139,57.91%,42.09%,15.83%,15.83%,13.34%,18.32%,26.97%,15.82%,24.26%
Arkansas,Mississippi,"Mississippi, AR ",6967,6638,51.21%,48.79%,2.42%,2.42%,8.58%,6121,7593,44.63%,55.37%,-10.73%,-10.73%,-13.22%,13.15%,21.81%,14.73%,23.18%
Arkansas,Monroe,"Monroe, AR ",1602,1505,51.56%,48.44%,3.12%,3.12%,9.29%,1586,2049,43.63%,56.37%,-12.74%,-12.74%,-15.23%,15.86%,24.51%,18.17%,26.62%
Arkansas,Montgomery,"Montgomery, AR ",2359,1090,68.40%,31.60%,36.79%,30.00%,42.96%,2367,1524,60.83%,39.17%,21.67%,21.67%,19.18%,15.13%,23.78%,12.43%,20.88%
